action_type,control_signal_ankle,control_signal_knee,domainindex,force_heel,force_toe,imu_position_ankle,imu_position_knee,imu_velocity_ankle,imu_velocity_knee,ishumanswing,position_actual_ankle,position_actual_knee,position_desired_ankle,position_desired_knee,tau,time_stance,time_swing,torque_actual_ankle,torque_actual_knee,torque_desired_ankle,torque_desired_knee,torque_imped_ankle,torque_imped_knee,torque_pd_ankle,torque_pd_knee,torque_qp_ankle,torque_qp_knee,vahid_kdR_ns,vahid_knee_torque,vahid_lambdaR_ns,vahid_xhip_actual,vahid_xhip_desired,vahid_zhip_actual,vahid_zhip_desired,velocity_actual_ankle,velocity_actual_knee,velocity_desired_ankle,velocity_desired_knee
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5202999115,-4.40496015549,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.4737501144,-4.37303972244,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
1,1.58448851109,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.6133995056,-4.34111976624,10.5368480682,-4.37533283234,0,0,10.5368480682,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.79334334563E-05,0,0,0
1,1.58449840546,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.4271993637,-4.40496015549,10.5369138718,-4.37533283234,0,0,10.5369138718,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,6.13592274021E-05,0,0,0
1,1.58451163769,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5202999115,-4.37303972244,10.5370016098,-4.37533283234,0,0,10.5370016098,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,5.25936266058E-05,0,0,0
1,1.58451807499,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5202999115,-4.40496015549,10.5370445251,-4.37533283234,0,0,10.5370445251,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,4.82108189317E-05,0,0,0
1,1.58452796936,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.5202999115,-4.37303972244,10.5371103287,-4.37533283234,0,0,10.5371103287,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,4.16366165155E-05,0,0,0
1,1.58453118801,-0.959502875805,0,0,0,0,0,0,0,1,-0.150536105037,0.416450202465,0,0.372696876526,0.183952376246,0,0,10.4271993637,-4.40496015549,10.5371322632,-4.37533283234,0,0,10.5371322632,-4.37533283234,0,0,20,0,10,-0.0540077984333,-0.0550554320216,0.811815917492,0.815361499786,3.94452181354E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.6133995056,-4.34111976624,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.5202999115,-4.37303972244,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.5668497086,-4.40496015549,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.6133995056,-4.40496015549,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.4737501144,-4.46879959106,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.4271993637,-4.40496015549,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.4271993637,-4.40496015549,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.5668497086,-4.34111976624,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
1,1.58451485634,-0.959509313107,0,0,0,0,0,0,0,1,-0.150533914566,0.416450202465,0,0.372696578503,0.183950096369,0,0,10.5668497086,-4.40496015549,10.5370235443,-4.37536239624,0,0,10.5370235443,-4.37536239624,0,0,20,0,10,-0.0540096908808,-0.0550572425127,0.811815798283,0.815361380577,3.50624177372E-05,0,0,0
